epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1233.96,0.66009,4.495,0.46522,0.65475,0.93636,0.978,0.64468,0.82128,0.64352,0.3998,0.33256,0.32633,0.07812,0.77784,4.79799,0.27266,0.90858,0.99741,0.000608468,0.000608468,0.000608468
60,1254.78,0.72438,4.91404,0.44554,0.70762,0.90847,0.58187,0.84722,0.82787,0.64871,0.41835,0.36111,0.34617,0.09199,0.79735,4.60183,0.26417,0.86189,1.00465,0.000594321,0.000594321,0.000594321
61,1275.74,0.70223,4.68407,0.4884,0.63986,0.92287,0.87508,0.71378,0.88166,0.69911,0.42281,0.36111,0.32217,0.09309,0.81913,4.42905,0.26673,0.86609,1.0049,0.000580174,0.000580174,0.000580174
62,1296.61,0.6468,4.48408,0.49501,0.62307,0.94732,0.88812,0.71382,0.86745,0.68666,0.45599,0.38889,0.37817,0.09501,0.82174,4.38166,0.26512,0.86537,0.99408,0.000566027,0.000566027,0.000566027
63,1317.55,0.63794,4.81829,0.39842,0.62846,0.90678,0.90207,0.71463,0.84707,0.66971,0.43231,0.35516,0.37076,0.08812,0.81771,4.4033,0.25844,0.8738,0.98167,0.00055188,0.00055188,0.00055188
64,1338.44,0.67628,4.80618,0.4479,0.65236,0.90882,0.90178,0.71599,0.88597,0.69649,0.38771,0.51389,0.37813,0.06688,0.82432,4.60843,0.24687,0.83522,1.00769,0.000537733,0.000537733,0.000537733
65,1359.19,0.67031,4.5893,0.47427,0.65188,0.91578,0.88575,0.84722,0.91052,0.70199,0.61078,0.50958,0.40194,0.08222,0.86119,4.44509,0.24607,0.84705,1.04333,0.000523586,0.000523586,0.000523586
66,1380.01,0.59801,4.50481,0.40345,0.56835,0.89157,0.92829,0.83536,0.9444,0.7365,0.61216,0.51389,0.40491,0.09915,0.84702,4.29955,0.24785,0.82319,1.02743,0.000509438,0.000509438,0.000509438
67,1400.65,0.62229,4.2801,0.44498,0.62045,0.93293,0.93261,0.84722,0.945,0.74158,0.43453,0.41667,0.38827,0.10764,0.83767,4.1671,0.2512,0.81895,1.01688,0.000495291,0.000495291,0.000495291
68,1421.34,0.64096,5.06651,0.55301,0.73045,0.97427,0.92791,0.7125,0.89969,0.70068,0.37399,0.36111,0.29563,0.07079,0.80706,4.57194,0.25303,0.80021,0.99612,0.000481144,0.000481144,0.000481144
69,1442.08,0.6993,4.28662,0.43218,0.61721,0.91539,0.92516,0.71098,0.89969,0.71178,0.36244,0.36111,0.29563,0.06807,0.78252,4.55746,0.25706,0.78209,0.99235,0.000466997,0.000466997,0.000466997
70,1462.59,0.59384,4.49839,0.46042,0.61422,0.9409,0.93648,0.82823,0.9331,0.72479,0.38763,0.38889,0.33373,0.0974,0.79629,4.21963,0.2623,0.77193,1.00937,0.00045285,0.00045285,0.00045285
71,1483.15,0.68738,4.90338,0.484,0.67075,0.93479,0.95153,0.84083,0.94218,0.73028,0.41425,0.41667,0.40116,0.12715,0.8167,4.04898,0.26864,0.76282,1.02727,0.000438703,0.000438703,0.000438703
72,1504.04,0.62469,4.24918,0.41982,0.59929,0.91767,0.93829,0.84722,0.94135,0.73334,0.44443,0.44444,0.44103,0.13673,0.79252,3.95379,0.26255,0.74731,1.01109,0.000424556,0.000424556,0.000424556
73,1525.18,0.67382,4.18746,0.41994,0.60156,0.92561,0.93565,0.84722,0.9225,0.73524,0.44137,0.44444,0.41535,0.13038,0.78044,4.0447,0.25582,0.71669,0.99217,0.000410409,0.000410409,0.000410409
74,1546.02,0.5686,4.55749,0.44427,0.56929,0.88133,0.9402,0.84722,0.90333,0.70762,0.45954,0.44444,0.41985,0.1065,0.76704,4.21982,0.25006,0.69467,0.98556,0.000396262,0.000396262,0.000396262
75,1566.84,0.6153,4.55731,0.48855,0.56356,0.90611,0.94523,0.84722,0.89292,0.71044,0.43202,0.41667,0.37162,0.08625,0.7522,4.46835,0.24997,0.70117,0.99023,0.000382115,0.000382115,0.000382115
76,1587.69,0.61328,4.18529,0.48052,0.55709,0.91621,0.96967,0.84145,0.88731,0.69231,0.40852,0.38889,0.32184,0.05792,0.78804,4.64253,0.2503,0.71066,1.00929,0.000367967,0.000367967,0.000367967
77,1608.65,0.62702,4.42877,0.39948,0.55109,0.90056,0.84956,0.84722,0.85448,0.65275,0.40944,0.38889,0.32642,0.06583,0.80505,4.5743,0.24963,0.73404,1.0069,0.00035382,0.00035382,0.00035382
78,1629.53,0.65713,4.31317,0.45423,0.57911,0.95392,0.8595,0.84669,0.85953,0.64935,0.40985,0.38889,0.32642,0.07632,0.7979,4.48457,0.25103,0.73071,0.99796,0.000339673,0.000339673,0.000339673
79,1650.23,0.6494,4.0906,0.48543,0.59193,0.94389,0.86103,0.84601,0.82984,0.62601,0.40976,0.38889,0.32642,0.08913,0.79544,4.3194,0.24741,0.71879,0.99002,0.000325526,0.000325526,0.000325526
80,1670.95,0.61384,4.22179,0.41804,0.58967,0.91559,0.85386,0.8465,0.84053,0.63921,0.40834,0.38889,0.32975,0.10413,0.80711,4.13693,0.24131,0.69578,0.98652,0.000311379,0.000311379,0.000311379
81,1691.68,0.66113,4.22347,0.43366,0.62019,0.909,0.84755,0.84155,0.84373,0.64684,0.40764,0.38889,0.31912,0.1122,0.79961,4.0827,0.24075,0.68593,0.98742,0.000297232,0.000297232,0.000297232
82,1712.6,0.55434,3.91292,0.39827,0.52712,0.89278,0.84311,0.83439,0.85207,0.64956,0.43743,0.41667,0.37162,0.1124,0.79377,4.10142,0.23805,0.68869,0.99082,0.000283085,0.000283085,0.000283085
83,1733.38,0.58482,4.04571,0.44332,0.59369,0.93155,0.83436,0.83727,0.85207,0.66423,0.43839,0.41667,0.37162,0.10827,0.78809,4.11244,0.23731,0.69251,0.9936,0.000268938,0.000268938,0.000268938
84,1754.18,0.56899,4.11624,0.45098,0.53645,0.90676,0.82983,0.83832,0.84752,0.67127,0.4114,0.38707,0.33049,0.09259,0.77906,4.23291,0.23088,0.70971,0.99361,0.000254791,0.000254791,0.000254791
85,1775.11,0.5806,4.68996,0.46964,0.61712,0.89547,0.82723,0.83771,0.84938,0.67196,0.4113,0.38653,0.3345,0.09157,0.77304,4.26523,0.22941,0.7178,0.98929,0.000240644,0.000240644,0.000240644
86,1795.85,0.57824,3.96855,0.43053,0.56297,0.89496,0.70536,0.875,0.8175,0.6496,0.4109,0.38889,0.32926,0.09105,0.76432,4.27276,0.23028,0.72342,0.98346,0.000226497,0.000226497,0.000226497
87,1816.81,0.54365,3.78319,0.3784,0.52193,0.85884,0.70381,0.875,0.81548,0.64514,0.40282,0.38889,0.32926,0.09456,0.76486,4.20092,0.23088,0.71634,0.98055,0.000212349,0.000212349,0.000212349
88,1837.7,0.5532,4.12775,0.41315,0.52379,0.88485,0.67889,0.875,0.81273,0.64937,0.51966,0.48611,0.32451,0.10086,0.77197,4.10688,0.231,0.71412,0.98534,0.000198202,0.000198202,0.000198202
89,1858.74,0.54868,4.41041,0.46533,0.63262,0.89806,0.67709,0.875,0.80827,0.64993,0.5541,0.51389,0.35995,0.10795,0.77795,4.12112,0.22838,0.70894,0.99047,0.000184055,0.000184055,0.000184055
90,1879.6,0.52342,3.9234,0.42396,0.52093,0.88043,0.67955,0.875,0.80525,0.6474,0.55834,0.51389,0.35995,0.10314,0.77808,4.17518,0.22623,0.70549,0.98956,0.000169908,0.000169908,0.000169908
91,1900.71,0.47696,3.52556,0.25187,0.49394,0.84395,0.68243,0.875,0.80917,0.64747,0.53167,0.48611,0.32283,0.07776,0.7746,4.3029,0.22503,0.70548,0.9875,0.000155761,0.000155761,0.000155761
92,1921.44,0.49746,3.4139,0.26502,0.48846,0.86846,0.69364,0.875,0.81225,0.64746,0.51,0.45747,0.2803,0.07029,0.77372,4.33851,0.2244,0.70124,0.98477,0.000141614,0.000141614,0.000141614
93,1942,0.43033,3.51628,0.23896,0.47796,0.82961,0.79954,0.83404,0.84142,0.67138,0.50745,0.45164,0.28018,0.08097,0.77162,4.25118,0.2238,0.7036,0.98272,0.000127467,0.000127467,0.000127467
94,1962.63,0.45957,3.42432,0.2295,0.49592,0.84342,0.80749,0.83502,0.83975,0.68385,0.53,0.45833,0.31187,0.09229,0.77424,4.18592,0.22648,0.70772,0.98509,0.00011332,0.00011332,0.00011332
95,1983.32,0.47842,3.42202,0.25072,0.49754,0.86838,0.82146,0.83372,0.83975,0.68181,0.52756,0.45833,0.31187,0.0956,0.77499,4.12269,0.22557,0.70396,0.985,9.91726e-05,9.91726e-05,9.91726e-05
96,2003.97,0.4346,3.37951,0.23688,0.48509,0.82578,0.83664,0.83087,0.83975,0.67315,0.55597,0.48611,0.35997,0.10655,0.77661,4.07265,0.22576,0.72429,0.98696,8.50255e-05,8.50255e-05,8.50255e-05
97,2024.63,0.51858,3.6345,0.28466,0.54721,0.8425,0.84528,0.80936,0.83826,0.6727,0.55635,0.48611,0.35894,0.10761,0.7778,4.04428,0.22444,0.73374,0.9877,7.08784e-05,7.08784e-05,7.08784e-05
98,2045.19,0.44235,3.31661,0.23336,0.46142,0.84078,0.85119,0.80386,0.83826,0.67461,0.553,0.48611,0.35894,0.10652,0.77929,4.01385,0.22337,0.74042,0.98861,5.67313e-05,5.67313e-05,5.67313e-05
99,2065.88,0.47059,3.38986,0.23527,0.49525,0.82052,0.85123,0.80644,0.83975,0.67737,0.55574,0.48611,0.35997,0.10854,0.7791,4.00721,0.22265,0.74285,0.98871,4.25842e-05,4.25842e-05,4.25842e-05
100,2086.53,0.45815,3.26768,0.23525,0.47003,0.8253,0.85507,0.80549,0.837,0.67777,0.3874,0.38258,0.31913,0.10539,0.77772,4.03031,0.22166,0.7478,0.98949,2.84371e-05,2.84371e-05,2.84371e-05
